quantile,Rural,Urban
 10%,0.1379042925428944,0.031809501458441754
 20%,0.134488058122443,0.0382446485539934
 30%,0.13051841700864497,0.04544547079136228
 40%,0.12371108462759835,0.05754029957422424
 50%,0.11602084483915565,0.0711712541865391
 60%,0.10840173131232375,0.08487942699755222
 70%,0.0904777589038026,0.1171930921336642
 80%,0.07587940719654439,0.1430715066590475
 90%,0.05557199989747111,0.1797675761533965
100%,0.027026405549121797,0.23087722349177883
