ccode,year,name,spend_group,hc,exp
COD,2023,Bukavu,"[120,Inf)",0,365
COD,2023,Bunia,"[0,12)",811972,103344275
COD,2023,Bunia,"[12,40)",6,42705
COD,2023,Bunia,"[40,80)",0,4380
COD,2023,Bunia,"[80,120)",0,0
COD,2023,Bunia,"[120,Inf)",0,1825
COD,2023,Goma,"[0,12)",745500,162094675
COD,2023,Goma,"[12,40)",89,424495
COD,2023,Goma,"[40,80)",2,30660
COD,2023,Goma,"[80,120)",0,4015
COD,2023,Goma,"[120,Inf)",0,5840
COD,2023,Kabinda,"[0,12)",570294,547500
COD,2023,Kabinda,"[12,40)",0,0
COD,2023,Kabinda,"[40,80)",0,0
COD,2023,Kabinda,"[80,120)",0,0
COD,2023,Kabinda,"[120,Inf)",0,0
COD,2023,Kananga,"[0,12)",1672811,8728610
COD,2023,Kananga,"[12,40)",0,0
COD,2023,Kananga,"[40,80)",0,0
COD,2023,Kananga,"[80,120)",0,0
COD,2023,Kananga,"[120,Inf)",0,0
COD,2023,Kikwit,"[0,12)",572100,2123570
COD,2023,Kikwit,"[12,40)",0,0
COD,2023,Kikwit,"[40,80)",0,0
COD,2023,Kikwit,"[80,120)",0,0
COD,2023,Kikwit,"[120,Inf)",0,0
COD,2023,Kinshasa,"[0,12)",16400228,5466045455
COD,2023,Kinshasa,"[12,40)",3720,21129850
COD,2023,Kinshasa,"[40,80)",108,2261175
COD,2023,Kinshasa,"[80,120)",0,0
COD,2023,Kinshasa,"[120,Inf)",4,329960
COD,2023,Kisangani,"[0,12)",1432416,255401815
COD,2023,Kisangani,"[12,40)",119,520490
COD,2023,Kisangani,"[40,80)",3,54385
COD,2023,Kisangani,"[80,120)",0,4380
COD,2023,Kisangani,"[120,Inf)",0,4745
COD,2023,Kolwezi,"[0,12)",523336,638065625
COD,2023,Kolwezi,"[12,40)",7420,40971980
COD,2023,Kolwezi,"[40,80)",100,1726450
COD,2023,Kolwezi,"[80,120)",37,1143545
COD,2023,Kolwezi,"[120,Inf)",4,322295
COD,2023,Likasi,"[0,12)",631428,443665165
COD,2023,Likasi,"[12,40)",1252,6980260
COD,2023,Likasi,"[40,80)",46,765770
COD,2023,Likasi,"[80,120)",2,100740
COD,2023,Likasi,"[120,Inf)",2,112420
COD,2023,Lubumbashi,"[0,12)",2821787,2035641865
COD,2023,Lubumbashi,"[12,40)",6103,34153415
COD,2023,Lubumbashi,"[40,80)",200,3474070
COD,2023,Lubumbashi,"[80,120)",12,462090
COD,2023,Lubumbashi,"[120,Inf)",7,516840
COD,2023,Matadi,"[0,12)",432723,418260070
COD,2023,Matadi,"[12,40)",2553,14196310
COD,2023,Matadi,"[40,80)",59,1084780
COD,2023,Matadi,"[80,120)",6,234330
COD,2023,Matadi,"[120,Inf)",1,108040
COD,2023,Mbandaka,"[0,12)",498182,13961615
COD,2023,Mbandaka,"[12,40)",0,730
