Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,pop_2020
1.450042968,0.040131716,Bungokho,UG205401,,,,Mbale,UG2054,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,520843.2813
4.215270948,0.274828165,Bunya,UG205301,,,,Mayuge,UG2053,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,627573.1875
1.348796226,0.040480411,Bunyangabu,UG410401,,,,Bunyangabu,UG4104,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,213025.9219
1.902286032,0.119361174,Bunyaruguru,UG413101,,,,Rubirizi,UG4131,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,157909.7344
1.311332247,0.053193464,Bunyole,UG203601,,,,Butaleja,UG2036,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,332373.4375
3.014759415,0.103324094,Burahya,UG411001,,,,Kabarole,UG4110,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,306951.3438
2.836159024,0.285318974,Buruli,UG102301,,,,Nakasongola,UG1023,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,235907.5938
1.964347546,0.091540741,Buruuli,UG412502,,,,Masindi,UG4125,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,44061.60938
0.550636048,0.007325922,Bushenyi  Municipality,UG410501,,,,Bushenyi,UG4105,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,47553.28516
0.103826831,0.000581258,Busia Municipality,UG203501,,,,Busia,UG2035,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,72081.42188
1.234640781,0.066182557,Busiki,UG205701,,,,Namutumba,UG2057,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,337061.4375
2.920703069,0.161375293,Busiro,UG102601,,,,Wakiso,UG1026,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,1325276.125
3.971072285,0.185244695,Busongora,UG411502,,,,Kasese,UG4115,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,340465.1563
1.358207445,0.040013738,Busujju,UG101801,,,,Mityana,UG1018,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,106816.0547
1.581540971,0.032951561,Butambala,UG100301,,,,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,117531.0391
0.922719222,0.019333647,Butebo,UG203701,,,,Butebo,UG2037,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,149648.0156
0.455156251,0.006998696,Butebo,UG205901,,,,Pallisa,UG2059,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,43930.85938
0.881449205,0.021240213,Butembe,UG204001,,,,Jinja,UG2040,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,226260.7813
3.939933433,0.781533339,Buvuma Island,UG100401,,,,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,141906.1406
2.284707629,0.10852206,Buwekula,UG102001,,,,Mubende,UG1020,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,222203.9375
2.092606694,0.126287447,Buyaga,UG411101,,,,Kagadi,UG4111,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,532108.3125
1.555623445,0.094647551,Buyanja,UG411701,,,,Kibaale,UG4117,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,210434.7188
1.052869023,0.033078506,Buzaaya,UG204402,,,,Kamuli,UG2044,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,200197.9375
0.855362206,0.022675825,Bwamba,UG410302,,,,Bundibugyo,UG4103,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,175702.9688
