country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id,pop_f0,pop_f1,pop_f5,pop_f10,pop_f15,pop_f20,pop_f25,pop_f30,pop_f35,pop_f40,pop_f45,pop_f50,pop_f55,pop_f60,pop_f65,pop_f70,pop_f75,pop_f80,pop_m0,pop_m1,pop_m5,pop_m10,pop_m15,pop_m20,pop_m25,pop_m30,pop_m35,pop_m40,pop_m45,pop_m50,pop_m55,pop_m60,pop_m65,pop_m70,pop_m75,pop_m80
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_113,Juja Sub County,aiqi2bz0IMI,3850.99106685791,14547.091391748,14911.0479428711,13526.4387564941,15174.0725004883,22610.9314087891,20121.0354993164,16577.4526630859,12304.611628418,8321.97615617676,5347.27951235352,2974.94421566162,2120.96395874634,1299.66675906372,858.151842391968,404.51712580719,284.262646783447,314.616145690918,3702.2593157959,13965.6893774414,14018.5046264648,12150.6999316406,10735.7830957031,19260.2322949219,20367.9618457031,18717.8675976562,15584.750925293,11360.9593505859,7359.27881469727,3928.18377685547,2238.73057250977,1124.79348907471,641.756993408203,312.86316444397,168.603743247986,143.056480293274
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_120,Kikuyu Sub County,jOVcLeZQSsS,2212.58195683594,8357.9806293457,9158.52207026367,8853.27484174805,9425.33928574219,11084.7318688477,10563.1758084961,9784.85546381836,7958.72060317383,6363.60331567383,4216.00893398438,2799.17859133301,2319.77715838623,1847.42543624268,1433.63541379395,795.896939465332,483.952637594604,465.699967996216,2209.03987966309,8332.95402060547,8779.59645390625,8166.66409057617,7845.57827944336,9946.99928989258,10507.8133708496,10059.7150601562,8910.75112084961,7129.59387290039,4931.17345158691,2831.99112697754,2038.99270186768,1481.48344263916,1099.93898071289,576.40806418457,305.93951519165,256.772373277283
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_122,Lari Sub County,nCziQtZ49jj,1641.90216324463,6202.28510825195,8082.93037050781,8156.5860609375,7180.48258603516,5294.98040698242,5229.48184604492,5513.63506508789,5166.29428310547,4456.25182348633,3285.41669455566,2212.47537478027,2189.16113635254,1724.4689232666,1447.50862062988,877.640879089355,468.496998394775,471.583753936768,1781.26273547363,6719.2639953125,8566.21668183594,8388.94983242187,7586.34564443359,6095.28875820313,5143.61307138672,5408.48066396484,5271.01273232422,4555.06544951172,3320.79887919922,2014.95073244629,1701.48658891602,1411.38093823242,1166.70229477539,616.484802075195,338.465181506348,290.238510479736
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_112,Gatundu North Sub County,HEsM6W2ImQR,1217.17003515625,4597.82701875,6323.8718046875,6464.21008515625,5211.45697734375,3933.854771875,4010.62892890625,4399.12638046875,4211.783384375,3780.383621875,2958.59316484375,2374.472559375,1977.21948320313,1691.22314101563,1608.00816777344,933.031587988281,551.796920117187,547.191814257812,1312.40177592773,4950.64140263672,6746.21245693359,6955.28478300781,6055.37027978516,4607.22061845703,3869.44814726563,4248.11956943359,4086.93840053711,3574.05283974609,2892.34978964844,1955.36679262695,1727.73996123047,1342.07668205566,1117.15146481934,698.350562548828,399.331944018555,332.297344610596
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_111,Gatundu South Sub County,EcRytSSIkUq,1349.79350675049,5098.80903129883,7007.29495268555,7161.83775385742,5777.65075488281,4371.92398193359,4455.14391699219,4881.32135,4669.85819296875,4188.33797001953,3276.94681008301,2628.11483410645,2188.80383154297,1871.58487702637,1779.10496331787,1032.11739140625,610.512622088623,605.444302740479,1462.44890375977,5516.64946552734,7511.13251835937,7741.34966601562,6739.93096816406,5141.09148691406,4322.62386386719,4741.24489775391,4559.19674707031,3984.34592651367,3221.96250043945,2176.84618828125,1921.90454816895,1492.39407546387,1242.16754472656,776.298192114258,443.90200345459,369.418010046387
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_115,Ruiru Sub County,TPRNJqSm4lK,4808.96578535156,18165.8324410156,18561.0448988281,16819.4842644531,19070.524571875,28431.5306367187,25211.0577375,20634.0594974609,15274.7801849609,10301.8620482422,6611.41971044922,3696.1271144043,2616.7816765625,1608.59983730469,1058.44959428711,504.488948266602,347.585719897461,385.617747470093,4495.09846906738,16956.4426019531,16956.7809691406,14668.08223125,13116.8096628906,23623.8721609375,24943.3519269531,22829.5072529297,18945.3057158203,13817.9854277344,8943.45856049805,4795.9245220459,2724.70530200195,1375.93545008545,783.540858898926,382.118681658936,203.214609283447,173.438484030914
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_118,Kiambaa Sub County,oMaQgNIs85x,2855.57456884766,10786.9129443359,11218.0589951172,11017.8638759766,11684.4175546875,14189.1701054687,13834.7497421875,12632.14246875,9970.7640703125,7579.71981347656,5151.08804492187,3389.14783251953,2776.97802709961,2131.88239379883,1709.62724365234,1025.77954626465,575.982737182617,581.747760559082,2746.21507053223,10359.311747168,10762.8887109375,9836.17659316406,9373.14414228516,12952.8054,14060.2205144531,13585.0028677734,11993.6212857422,9295.573021875,6213.92738115234,3453.44629394531,2490.19337922363,1713.99355554199,1275.07818746338,659.972826837158,349.387635662842,299.637604440308
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_117,Kiambu Town Sub County,SBz4c48i24Y,1825.9742946167,6897.60509326172,7144.46156616211,6984.48346875,7455.55892651367,9115.70438964844,8828.93517480469,7957.42904589844,6220.27469091797,4693.23119677734,3173.38367687988,2074.14923455811,1696.4546585083,1302.45480596924,1046.70255752563,628.515959655762,352.188595596313,359.622419128418,1670.00503161621,6299.61680874023,6510.12548994141,5920.4570269043,5653.82342592773,7897.43742670898,8573.30812265625,8236.35757924805,7192.25775483398,5539.78549555664,3672.90326601562,2021.95034208984,1444.60954610596,990.56634944458,732.32492244873,380.035167434692,200.18814609375,175.307234848022
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_114,Thika Town Sub County,YZAZ1a9MIvX,3531.96110280762,13341.9503592773,13910.9862191406,12718.8412813477,14575.6138924805,20824.7150076172,17932.0367829102,15335.6298641602,11756.9111586914,8350.90745839844,5690.38498022461,3538.71629782715,2333.9087612915,1383.23227193604,969.384429858398,520.245602664185,253.821416801453,299.752333439636,3328.46052075195,12555.6675083984,12923.6354994141,11317.358215625,10462.0434751465,18357.9524283203,18766.4350446289,17118.1896703125,14255.0096541016,10941.971376123,7549.09520073242,4374.54221418457,2522.72822615967,1346.95501116333,818.467709216309,354.261639712524,189.064009999084,149.319204237366
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_119,Kabete Sub County,lb5LzWiUX8Y,2327.61253996582,8792.50556337891,9643.35036708984,9339.78559658203,9945.43459892578,11698.5342814453,11163.6238710937,10374.8880269531,8465.20869990234,6781.3694859375,4503.2238140625,2998.87998837891,2483.13823659668,1975.49189758301,1531.53483618164,851.546202868652,516.901969995117,495.16652109375,2362.36904384766,8911.34388764648,9403.1380293457,8760.63498442383,8423.92088115234,10678.1335119141,11267.603503418,10800.9450524414,9602.85300131836,7703.73053994141,5346.65802729492,3085.07035334473,2225.50342965088,1617.28192133789,1202.4700663147,629.777904922485,334.444350338745,278.156420635986
