OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020
"236",Amhara,North Gonder,Takusa,"03","0301","030121",ET03,Takusa,ET030121,ET0301,,184481.625
"237",Amhara,North Shewa(R3),Tarema Ber,"03","0305","030510",ET03,Tarema Ber,ET030510,ET0305,Tarmaber,121745.7421875
"238",Amhara,South Wollo,Tenta,"03","0304","030402",ET03,Tenta,ET030402,ET0304,Tenta,238212.015625
"239",Amhara,South Wollo,Thehulederie,"03","0304","030405",ET03,Thehulederie,ET030405,ET0304,,168233.75
"240",Amhara,South Gonder,West Esite,"03","0302","030211",ET03,West Esite,ET030211,ET0302,,301982.875
"241",Amhara,North Wollo,Wadla,"03","0303","030305",ET03,Wadla,ET030305,ET0303,Wadla,185019.328125
"242",Amhara,South Wollo,Wegde,"03","0304","030416",ET03,Wegde,ET030416,ET0304,,194315.71875
"243",Amhara,North Gonder,Wegera,"03","0301","030109",ET03,Wegera,ET030109,ET0301,Wogera,316023.1875
"244",Amhara,West Gojam,Wemberma,"03","0307","030711",ET03,Wemberma,ET030711,ET0307,,145438.25
"245",Amhara,South Wollo,Were Ilu,"03","0304","030415",ET03,Were Ilu,ET030415,ET0304,,156243.03125
"246",Amhara,North Gonder,West Belesa,"03","0301","030116",ET03,West Belesa,ET030116,ET0301,West Belesa,140614.90625
"247",Amhara,South Wollo,Worebabu,"03","0304","030406",ET03,Worebabu,ET030406,ET0304,,143927.421875
"248",Amhara,West Gojam,Yilmana Densa,"03","0307","030703",ET03,Yilmana Densa,ET030703,ET0307,,307810.90625
"249",Amhara,Wag Himra,Ziquala,"03","0308","030801",ET03,Ziquala,ET030801,ET0308,Ziqual,63390.5234375
"250",Amhara,North Gonder,Tsegede,"03","0301","030107",ET03,Tsegede,ET030107,ET0301,,106189.296875
"251",Amhara,North Gonder,Addi Arekay,"03","0301","030101",ET03,Addi Arekay,ET030101,ET0301,,134173.109375
"252",Amhara,North Gonder,Tselemt,"03","0301","030119",ET03,Tselemt,ET030119,ET0301,Tselemt,82345.7265625
"253",Amhara,Wag Himra,Abergele,"03","0308","030805",ET03,Abergele,ET030805,ET0308,Abergele,62207.06640625
"254",Amhara,Wag Himra,Sekota,"03","0308","030802",ET03,Sekota,ET030802,ET0308,,193112.796875
"255",Amhara,North Wollo,Kobo,"03","0303","030302",ET03,Kobo,ET030302,ET0303,Kobo,317178.4375
"256",Amhara,Oromia,Artuma Fursi,"03","0310","031004",ET03,Artuma Fursi,ET031004,ET0310,Artuma Fursi,118154.46875
"257",Amhara,Oromia,Dewa Harewa,"03","0310","031005",ET03,Dewa Harewa,ET031005,ET0310,Dewa Harewa,58950.60546875
"258",Afar,Zone 2,Afdera,"02","0202","020207",ET02,Afdera,ET020207,ET0202,Afdera,30706.302734375
"259",Afar,Zone 2,Erebti,"02","0202","020201",ET02,Erebti,ET020201,ET0202,Erebti,51655.1796875
"260",Afar,Zone 1,Elidar,"02","0201","020102",ET02,Elidar,ET020102,ET0201,Eliddar,75907.609375
"261",Afar,Zone 4,Teru,"02","0204","020403",ET02,Teru,ET020403,ET0204,Terue,100443.4609375
"262",Afar,Zone 1,Dubti,"02","0201","020101",ET02,Dubti,ET020101,ET0201,Dubti,97038.9609375
"263",Afar,Zone 4,Awra,"02","0204","020401",ET02,Awra,ET020401,ET0204,Awra,51547.84765625
"264",Afar,Zone 1,Aysaita,"02","0201","020103",ET02,Aysaita,ET020103,ET0201,Asaita,75477.234375
"265",Afar,Zone 1,Afambo,"02","0201","020104",ET02,Afambo,ET020104,ET0201,Afambo,35399.953125
"266",Afar,Zone 3,Gewane,"02","0203","020303",ET02,Gewane,ET020303,ET0203,Gewane,46913.27734375
"267",Afar,Zone 3,Bure Mudaytu,"02","0203","020305",ET02,Bure Mudaytu,ET020305,ET0203,Boremudaitu,46509.8125
"268",Afar,Zone 3,Amibara,"02","0203","020301",ET02,Amibara,ET020301,ET0203,Amibara,92745.90625
"269",Afar,Zone 3,Argoba Special,"02","0203","020306",ET02,Argoba Special,ET020306,ET0203,Argoba sp,31799.443359375
"270",Afar,Zone 3,Dulecha,"02","0203","020304",ET02,Dulecha,ET020304,ET0203,Dulecha,30916.689453125
"271",Afar,Zone 3,Awash Fentale,"02","0203","020302",ET02,Awash Fentale,ET020302,ET0203,Awash Fentale,45526.42578125
"272",Afar,Zone 2,Dalul,"02","0202","020206",ET02,Dalul,ET020206,ET0202,Dalole,116876.609375
"273",Afar,Zone 2,Koneba,"02","0202","020202",ET02,Koneba,ET020202,ET0202,Kuneba,80533.078125
"274",Afar,Zone 2,Berahile,"02","0202","020205",ET02,Berahile,ET020205,ET0202,Berehale,116097.21875
"275",Afar,Zone 2,Ab Ala,"02","0202","020203",ET02,Ab Ala,ET020203,ET0202,Abaala,56533.609375
"276",Afar,Zone 2,Megale,"02","0202","020204",ET02,Megale,ET020204,ET0202,Megale,41390.39453125
"277",Afar,Zone 4,Yalo,"02","0204","020404",ET02,Yalo,ET020404,ET0204,Yallo,70266.6484375
"278",Afar,Zone 4,Gulina,"02","0204","020405",ET02,Gulina,ET020405,ET0204,Golina,74088.2421875
"279",Afar,Zone 4,Ewa,"02","0204","020402",ET02,Ewa,ET020402,ET0204,Ewa,70073.328125
"280",Afar,Zone 1,Chifra,"02","0201","020106",ET02,Chifra,ET020106,ET0201,Chifra,134908.4375
"281",Afar,Zone 1,Mile,"02","0201","020105",ET02,Mile,ET020105,ET0201,Mille,86143.8828125
"282",Afar,Zone 5,Telalak,"02","0205","020501",ET02,Telalak,ET020501,ET0205,Telalk,56027.4453125
"283",Afar,Zone 5,Dalfagi,"02","0205","020504",ET02,Dalfagi,ET020504,ET0205,Dalifage,53698.00390625
"284",Afar,Zone 5,Dewe,"02","0205","020503",ET02,Dewe,ET020503,ET0205,Dewe,63016.71875
"285",Afar,Zone 5,Simurobi Gele'alo,"02","0205","020502",ET02,Simurobi Gele'alo,ET020502,ET0205,Semurobi,47428.19921875
"286",Afar,Zone 5,Hadelela,"02","0205","020505",ET02,Hadelela,ET020505,ET0205,Hadelela,52763.42578125
"287",Oromia,North Shewa(R4),Dera,"04","0406","040602",ET04,Dera,ET040602,ET0406,,294781.15625
"288",Oromia,East Wellega,Ibantu,"04","0402","040202",ET04,Ibantu,ET040202,ET0402,,58604.796875
"289",Oromia,North Shewa(R4),Wara Jarso,"04","0406","040601",ET04,Wara Jarso,ET040601,ET0406,Wara Jarso,229564.578125
"290",Oromia,North Shewa(R4),Hidabu Abote,"04","0406","040603",ET04,Hidabu Abote,ET040603,ET0406,,134520.125
"291",Oromia,East Wellega,Limu,"04","0402","040201",ET04,Limu,ET040201,ET0402,,118396.6796875
"292",Oromia,Horo Guduru,Guduru,"04","0419","041903",ET04,Guduru,ET041903,ET0419,Guduru,159906.125
"293",Oromia,North Shewa(R4),Degem,"04","0406","040605",ET04,Degem,ET040605,ET0406,Degem,160952.375
"294",Oromia,Horo Guduru,Abay Chomen,"04","0419","041905",ET04,Abay Chomen,ET041905,ET0419,,78586.15625
"295",Oromia,North Shewa(R4),Gerar Jarso,"04","0406","040606",ET04,Gerar Jarso,ET040606,ET0406,,154198.671875
"296",Oromia,West Shewa,Ginde Beret,"04","0405","040501",ET04,Ginde Beret,ET040501,ET0405,,170836.671875
"297",Oromia,North Shewa(R4),Kuyu,"04","0406","040604",ET04,Kuyu,ET040604,ET0406,Kuyu,198580.171875
"298",Oromia,Horo Guduru,Horo,"04","0419","041901",ET04,Horo,ET041901,ET0419,,146294.171875
"299",Oromia,Horo Guduru,Abe Dongoro,"04","0419","041910",ET04,Abe Dongoro,ET041910,ET0419,,109341.515625
"300",Oromia,North Shewa(R4),Wuchale,"04","0406","040608",ET04,Wuchale,ET040608,ET0406,,158639.65625
"301",Oromia,North Shewa(R4),Yaya Gulele,"04","0406","040614",ET04,Yaya Gulele,ET040614,ET0406,,89869.4375
"302",Oromia,East Harerge,Jarso,"04","0410","041002",ET04,Jarso,ET041002,ET0410,Jarso,187690.640625
"303",Oromia,West Shewa,Meta Robi,"04","0405","040514",ET04,Meta Robi,ET040514,ET0405,Meta Robi,228301.21875
"304",Oromia,West Wellega,Begi,"04","0401","040116",ET04,Begi,ET040116,ET0401,,196088.078125
"305",Oromia,East Harerge,Kombolcha,"04","0410","041001",ET04,Kombolcha,ET041001,ET0410,Kombolcha,226764.828125
"306",Oromia,West Shewa,Adda Berga,"04","0405","040513",ET04,Adda Berga,ET040513,ET0405,,195436.046875
"307",Oromia,West Wellega,Babo,"04","0401","040111",ET04,Babo,ET040111,ET0401,,99088.8046875
"308",Oromia,East Wellega,Bila Seyo,"04","0402","040207",ET04,Bila Seyo,ET040207,ET0402,,88651.390625
"309",Oromia,East Harerge,Meta,"04","0410","041009",ET04,Meta,ET041009,ET0410,Meta,408705.0625
"310",Oromia,East Harerge,Haro Maya,"04","0410","041006",ET04,Haro Maya,ET041006,ET0410,,442948.1875
"311",Oromia,East Wellega,Sasiga,"04","0402","040211",ET04,Sasiga,ET040211,ET0402,Sasiga,131798.390625
"312",Oromia,East Harerge,Goro Gutu,"04","0410","041010",ET04,Goro Gutu,ET041010,ET0410,Goro Gutu,230607.96875
"313",Oromia,East Wellega,Guto Gida,"04","0402","040213",ET04,Guto Gida,ET040213,ET0402,,268907.03125
"314",Oromia,East Harerge,Gursum,"04","0410","041003",ET04,Gursum,ET041003,ET0410,Gursum,245906.140625
"315",Oromia,East Harerge,Kersa,"04","0410","041008",ET04,Kersa,ET041008,ET0410,Kersa,277237.0625
"316",Oromia,West Shewa,Jeldu,"04","0405","040502",ET04,Jeldu,ET040502,ET0405,,329516.15625
"317",Oromia,West Harerge,Doba,"04","0409","040902",ET04,Doba,ET040902,ET0409,Doba,216559.640625
"318",Oromia,West Harerge,Mieso,"04","0409","040901",ET04,Mieso,ET040901,ET0409,,212347.8125
"319",Oromia,East Harerge,Deder,"04","0410","041011",ET04,Deder,ET041011,ET0410,Deder,397984.4375
"320",Oromia,West Shewa,Cheliya,"04","0405","040505",ET04,Cheliya,ET040505,ET0405,,256874.625
"321",Oromia,Kelem Wellega,Gawo Kebe,"04","0418","041804",ET04,Gawo Kebe,ET041804,ET0418,,107985.2734375
"322",Oromia,East Harerge,Babile,"04","0410","041004",ET04,Babile,ET041004,ET0410,Babile,154997.1875
"323",Oromia,West Shewa,Ambo Zuria,"04","0405","040503",ET04,Ambo Zuria,ET040503,ET0405,,253580.34375
"324",Oromia,Horo Guduru,Jimma Rare,"04","0419","041907",ET04,Jimma Rare,ET041907,ET0419,,90303.2890625
"325",Oromia,East Harerge,Kurfa Chele,"04","0410","041007",ET04,Kurfa Chele,ET041007,ET0410,,94357.734375
"326",Oromia,West Harerge,Tulo,"04","0409","040903",ET04,Tulo,ET040903,ET0409,Tulo,240936.40625
"327",Oromia,East Harerge,Bedeno,"04","0410","041013",ET04,Bedeno,ET041013,ET0410,Bedeno,389612.3125
"328",Oromia,West Shewa,Dendi,"04","0405","040510",ET04,Dendi,ET040510,ET0405,,272372.09375
"329",Oromia,West Shewa,Ejere (Addis Alem),"04","0405","040511",ET04,Ejere (Addis Alem),ET040511,ET0405,,141900.578125
"330",Oromia,East Harerge,Girawa,"04","0410","041016",ET04,Girawa,ET041016,ET0410,,391285.84375
"331",Oromia,West Shewa,Bako Tibe,"04","0405","040506",ET04,Bako Tibe,ET040506,ET0405,,200436.03125
"332",Oromia,East Harerge,Malka Balo,"04","0410","041012",ET04,Malka Balo,ET041012,ET0410,,289160
"333",Oromia,Bale,Ginir,"04","0411","041108",ET04,Ginir,ET041108,ET0411,,227534.25
"334",Oromia,West Arsi,Adaba,"04","0417","041710",ET04,Adaba,ET041710,ET0417,Adaba,225322.078125
"335",Oromia,West Arsi,Shashemene Zuria,"04","0417","041712",ET04,Shashemene Zuria,ET041712,ET0417,,564804.0625
"336",Oromia,West Arsi,Kofele,"04","0417","041704",ET04,Kofele,ET041704,ET0417,,289952.125
"337",Oromia,West Arsi,Gedeb Asasa,"04","0417","041706",ET04,Gedeb Asasa,ET041706,ET0417,,303901.03125
"338",Oromia,Bale,Sinana,"04","0411","041109",ET04,Sinana,ET041109,ET0411,,265178.09375
"339",Oromia,East Harerge,Golo Oda,"04","0410","041017",ET04,Golo Oda,ET041017,ET0410,,172369.875
"340",Oromia,Bale,Rayitu,"04","0411","041117",ET04,Rayitu,ET041117,ET0411,,53936.22265625
"341",Oromia,East Harerge,Fedis,"04","0410","041005",ET04,Fedis,ET041005,ET0410,,184246.40625
"342",Oromia,West Harerge,Gemechis,"04","0409","040912",ET04,Gemechis,ET040912,ET0409,Gemechis,298647.5625
"343",Oromia,West Harerge,Mesela,"04","0409","040904",ET04,Mesela,ET040904,ET0409,,248707.640625
"344",Oromia,East Shewa,Fentale,"04","0407","040701",ET04,Fentale,ET040701,ET0407,Fentale,132506.40625
"345",Oromia,West Wellega,Haru,"04","0401","040114",ET04,Haru,ET040114,ET0401,Haru,109020.28125
"346",Oromia,West Harerge,Anchar,"04","0409","040906",ET04,Anchar,ET040906,ET0409,Anchar,132937.765625
"347",Oromia,West Wellega,Yubdo,"04","0401","040112",ET04,Yubdo,ET040112,ET0401,,63196.1484375
"348",Oromia,East Wellega,Wama Hagalo,"04","0402","040216",ET04,Wama Hagalo,ET040216,ET0402,,80487.984375
"349",Oromia,Horo Guduru,Jarte Jardega,"04","0419","041908",ET04,Jarte Jardega,ET041908,ET0419,,79571.71875
"350",Oromia,West Harerge,Kuni,"04","0409","040911",ET04,Kuni,ET040911,ET0409,,288531.59375
"351",Oromia,West Wellega,Nole Kaba,"04","0401","040115",ET04,Nole Kaba,ET040115,ET0401,,97701.6171875
"352",Oromia,South West Shewa,Ilu,"04","0413","041305",ET04,Ilu,ET041305,ET0413,,101026.171875
"353",Oromia,West Shewa,Tikur Enchini,"04","0405","040509",ET04,Tikur Enchini,ET040509,ET0405,,116930.6953125
"354",Oromia,East Shewa,Ada'a,"04","0407","040706",ET04,Ada'a,ET040706,ET0407,,374848.4375
"355",Oromia,South West Shewa,Dawo,"04","0413","041304",ET04,Dawo,ET041304,ET0413,,135110.078125
"356",Oromia,West Shewa,Dano,"04","0405","040507",ET04,Dano,ET040507,ET0405,,158869.359375
"357",Oromia,East Wellega,Jimma Arjo,"04","0402","040214",ET04,Jimma Arjo,ET040214,ET0402,,140965.5625
"358",Oromia,Ilubabor,Meko,"04","0403","040318",ET04,Meko,ET040318,ET0403,,35222.875
"359",Oromia,West Harerge,Habro,"04","0409","040908",ET04,Habro,ET040908,ET0409,,311932.46875
"360",Oromia,West Shewa,Nono,"04","0405","040508",ET04,Nono,ET040508,ET0405,,137399.4375
"361",Oromia,Jimma,Limu Seka,"04","0404","040401",ET04,Limu Seka,ET040401,ET0404,,308293.8125
"362",Oromia,Arsi,Merti,"04","0408","040801",ET04,Merti,ET040801,ET0408,,146775.53125
"363",Oromia,Kelem Wellega,Hawa Galan,"04","0418","041801",ET04,Hawa Galan,ET041801,ET0418,,156299.34375
"364",Oromia,East Wellega,Nunu Kumba,"04","0402","040215",ET04,Nunu Kumba,ET040215,ET0402,,105127.0859375
"365",Oromia,East Shewa,Boset,"04","0407","040702",ET04,Boset,ET040702,ET0407,Boset,229574.203125
"366",Oromia,East Shewa,Lome,"04","0407","040704",ET04,Lome,ET040704,ET0407,,190147.390625
"367",Oromia,West Harerge,Boke,"04","0409","040910",ET04,Boke,ET040910,ET0409,Boke,246120.15625
"368",Oromia,South West Shewa,Wenchi,"04","0413","041302",ET04,Wenchi,ET041302,ET0413,,152242.484375
"369",Oromia,South West Shewa,Tole,"04","0413","041308",ET04,Tole,ET041308,ET0413,,102138.328125
"370",Oromia,Ilubabor,Darimu,"04","0403","040301",ET04,Darimu,ET040301,ET0403,,237455.96875
"371",Oromia,South West Shewa,Ameya,"04","0413","041301",ET04,Ameya,ET041301,ET0413,,198930.09375
"372",Oromia,South West Shewa,Becho,"04","0413","041309",ET04,Becho,ET041309,ET0413,,121026.828125
"373",Oromia,East Shewa,Adama,"04","0407","040703",ET04,Adama,ET040703,ET0407,Adama,610890.5
"374",Oromia,South West Shewa,Waliso,"04","0413","041303",ET04,Waliso,ET041303,ET0413,,286062.78125
"375",Oromia,Ilubabor,Alge Sachi,"04","0403","040302",ET04,Alge Sachi,ET040302,ET0403,,125323.71875
"376",Oromia,Arsi,Aseko,"04","0408","040802",ET04,Aseko,ET040802,ET0408,,136542.03125
"377",Oromia,Arsi,Gololcha Arsi,"04","0408","040803",ET04,Gololcha Arsi,ET040803,ET0408,,280055.90625
"378",Oromia,Jimma,Chora,"04","0404","040415",ET04,Chora,ET040415,ET0404,,149053.8125
"379",Oromia,Arsi,Jeju,"04","0408","040804",ET04,Jeju,ET040804,ET0408,,202890.15625
"380",Oromia,South West Shewa,Seden Sodo,"04","0413","041310",ET04,Seden Sodo,ET041310,ET0413,,111337.5546875
"381",Oromia,Ilubabor,Chora,"04","0403","040303",ET04,Chora,ET040303,ET0403,,164581.96875
"382",Oromia,Arsi,Sire,"04","0408","040820",ET04,Sire,ET040820,ET0408,Sire,120021.7109375
"383",Oromia,Ilubabor,Metu Zuria,"04","0403","040310",ET04,Metu Zuria,ET040310,ET0403,,147481.953125
"384",Oromia,Ilubabor,Yayu,"04","0403","040309",ET04,Yayu,ET040309,ET0403,,85341.71875
"385",Oromia,East Shewa,Dugda,"04","0407","040707",ET04,Dugda,ET040707,ET0407,,236305.015625
"386",Oromia,Arsi,Chole,"04","0408","040809",ET04,Chole,ET040809,ET0408,,145445.125
"387",Oromia,Arsi,Ziway Dugda,"04","0408","040806",ET04,Ziway Dugda,ET040806,ET0408,,196806.953125
"388",Oromia,Ilubabor,Didu,"04","0403","040317",ET04,Didu,ET040317,ET0403,,53614.5703125
"389",Oromia,Arsi,Sude,"04","0408","040808",ET04,Sude,ET040808,ET0408,Sude,240167.84375
"390",Oromia,Jimma,Setema,"04","0404","040413",ET04,Setema,ET040413,ET0404,,167184.34375
"391",Oromia,Arsi,Hitosa,"04","0408","040807",ET04,Hitosa,ET040807,ET0408,,201469.671875
"392",Oromia,Ilubabor,Dedesa,"04","0403","040308",ET04,Dedesa,ET040308,ET0403,,138410.484375
"393",Oromia,Jimma,Sigmo,"04","0404","040412",ET04,Sigmo,ET040412,ET0404,,150570.125
"394",Oromia,Jimma,Tiro Afeta,"04","0404","040404",ET04,Tiro Afeta,ET040404,ET0404,,213228.390625
"395",Oromia,Bale,Lege Hida,"04","0411","041107",ET04,Lege Hida,ET041107,ET0411,,101749.3828125
"396",Oromia,Arsi,Amigna,"04","0408","040810",ET04,Amigna,ET040810,ET0408,Amigna,118679.1953125
"397",Oromia,Jimma,Goma,"04","0404","040407",ET04,Goma,ET040407,ET0404,,387795
"398",Oromia,East Shewa,Adami Tulu Jido Kombolcha,"04","0407","040708",ET04,Adami Tulu Jido Kombolcha,ET040708,ET0407,,301247.40625
"399",Oromia,Arsi,Tiyo,"04","0408","040816",ET04,Tiyo,ET040816,ET0408,,251213.828125
"400",Oromia,Jimma,Kersa,"04","0404","040405",ET04,Kersa,ET040405,ET0404,Kersa,465245.3125
"401",Oromia,Jimma,Sekoru,"04","0404","040403",ET04,Sekoru,ET040403,ET0404,,221123.953125
"402",Oromia,Arsi,Robe,"04","0408","040812",ET04,Robe,ET040812,ET0408,,269601.90625
"403",Oromia,Jimma,Gera,"04","0404","040408",ET04,Gera,ET040408,ET0404,,182792.171875
"404",Oromia,Jimma,Mena,"04","0404","040406",ET04,Mena,ET040406,ET0404,,238067.109375
"405",Oromia,Arsi,Seru,"04","0408","040811",ET04,Seru,ET040811,ET0408,Seru,77522.78125
"406",Oromia,Arsi,Degeluna Tijo,"04","0408","040815",ET04,Degeluna Tijo,ET040815,ET0408,,228030.640625
"407",Oromia,Bale,Gololcha Bale,"04","0411","041105",ET04,Gololcha Bale,ET041105,ET0411,,163385.828125
"408",Oromia,Jimma,Omo Nada,"04","0404","040411",ET04,Omo Nada,ET040411,ET0404,,403107.375
"409",Oromia,Arsi,Munessa,"04","0408","040817",ET04,Munessa,ET040817,ET0408,,271301.71875
"410",Oromia,Jimma,Shebe Sambo,"04","0404","040414",ET04,Shebe Sambo,ET040414,ET0404,,184846.78125
"411",Oromia,Bale,Seweyna,"04","0411","041118",ET04,Seweyna,ET041118,ET0411,,107410.484375
"412",Oromia,Arsi,Shirka,"04","0408","040814",ET04,Shirka,ET040814,ET0408,,267202.65625
"413",Oromia,West Arsi,Arsi Negele,"04","0417","041703",ET04,Arsi Negele,ET041703,ET0417,,422296.3125
"414",Oromia,Jimma,Dedo,"04","0404","040410",ET04,Dedo,ET040410,ET0404,,471026.875
"415",Oromia,Arsi,Limu Bilbilo,"04","0408","040818",ET04,Limu Bilbilo,ET040818,ET0408,,293970.90625
"416",Oromia,West Arsi,Shalla,"04","0417","041702",ET04,Shalla,ET041702,ET0417,,242309.3125
"417",Oromia,Bale,Agarfa,"04","0411","041104",ET04,Agarfa,ET041104,ET0411,,165421.0625
"418",Oromia,Bale,Dawe Kachen,"04","0411","041121",ET04,Dawe Kachen,ET041121,ET0411,,120338.90625
"419",Oromia,West Arsi,Dodola,"04","0417","041707",ET04,Dodola,ET041707,ET0417,Dodola,316000.875
"420",Oromia,Bale,Goba,"04","0411","041110",ET04,Goba,ET041110,ET0411,,118819.7421875
"421",Oromia,West Arsi,Kokosa,"04","0417","041708",ET04,Kokosa,ET041708,ET0417,,235322.046875
"422",Oromia,Bale,Berbere,"04","0411","041114",ET04,Berbere,ET041114,ET0411,,147365.859375
"423",Oromia,Bale,Gura Damole,"04","0411","041115",ET04,Gura Damole,ET041115,ET0411,,47511.0234375
"424",Oromia,West Arsi,Nenesebo (Wereka),"04","0417","041709",ET04,Nenesebo (Wereka),ET041709,ET0417,,185094.5625
"425",Oromia,Bale,Mena,"04","0411","041112",ET04,Mena,ET041112,ET0411,,145584.578125
"426",Oromia,Borena,Gelana,"04","0412","041217",ET04,Gelana,ET041217,ET0412,Gelana,122282.3125
"427",Oromia,Guji,Uraga,"04","0414","041401",ET04,Uraga,ET041401,ET0414,,285538.53125
"428",Oromia,Bale,Meda Welabu,"04","0411","041113",ET04,Meda Welabu,ET041113,ET0411,,165583.234375
"429",Oromia,Guji,Adola,"04","0414","041403",ET04,Adola,ET041403,ET0414,,216757.296875
"430",Oromia,Borena,Teltele,"04","0412","041212",ET04,Teltele,ET041212,ET0412,,115289.21875
"431",Oromia,Borena,Moyale,"04","0412","041210",ET04,Moyale,ET041210,ET0412,Moyale,51966.91015625
"432",Oromia,Ilubabor,Borecha,"04","0403","040307",ET04,Borecha,ET040307,ET0403,,119479.2734375
"433",Oromia,Kelem Wellega,Lalo Kile,"04","0418","041811",ET04,Lalo Kile,ET041811,ET0418,,83713.3046875
"434",Oromia,West Wellega,Jarso,"04","0401","040108",ET04,Jarso,ET040108,ET0401,Jarso,78647.140625
"435",Oromia,Kelem Wellega,Jimma Horo,"04","0418","041810",ET04,Jimma Horo,ET041810,ET0418,,74415.1484375
"436",Oromia,Kelem Wellega,Yama Logi Welel,"04","0418","041802",ET04,Yama Logi Welel,ET041802,ET0418,,83137.3671875
"437",Oromia,Kelem Wellega,Dale Wabera,"04","0418","041803",ET04,Dale Wabera,ET041803,ET0418,,168181.6875
"438",Oromia,Kelem Wellega,Dale Sadi,"04","0418","041808",ET04,Dale Sadi,ET041808,ET0418,,120490.3046875
"439",Oromia,West Wellega,Boji Chekorsa,"04","0401","040110",ET04,Boji Chekorsa,ET040110,ET0401,,79578.84375
"440",Oromia,West Wellega,Gaji,"04","0401","040113",ET04,Gaji,ET040113,ET0401,,97762.5
"441",Oromia,West Wellega,Sayo Nole,"04","0401","040118",ET04,Sayo Nole,ET040118,ET0401,,123585.546875
"442",Oromia,Ilubabor,Dega,"04","0403","040304",ET04,Dega,ET040304,ET0403,,63713.25390625
"443",Oromia,Ilubabor,Bilo Nopha,"04","0403","040315",ET04,Bilo Nopha,ET040315,ET0403,,46656.05859375
"444",Oromia,Ilubabor,Halu (Huka),"04","0403","040319",ET04,Halu (Huka),ET040319,ET0403,,27496.544921875
"445",Oromia,Ilubabor,Ale,"04","0403","040311",ET04,Ale,ET040311,ET0403,,105088.1328125
"446",Oromia,Ilubabor,Hurumu,"04","0403","040316",ET04,Hurumu,ET040316,ET0403,,69561.109375
"447",Oromia,Ilubabor,Becho,"04","0403","040314",ET04,Becho,ET040314,ET0403,,40557.66796875
"448",Oromia,Ilubabor,Gechi,"04","0403","040306",ET04,Gechi,ET040306,ET0403,,114805.125
"449",Oromia,Ilubabor,Badele Zuria,"04","0403","040322",ET04,Badele Zuria,ET040322,ET0403,,157865.375
"450",Oromia,Ilubabor,Dorani,"04","0403","040324",ET04,Dorani,ET040324,ET0403,,59881.24609375
"451",Oromia,East Wellega,Boneya Boshe,"04","0402","040205",ET04,Boneya Boshe,ET040205,ET0402,,77462.6796875
"452",Oromia,East Wellega,Gobu Seyo,"04","0402","040208",ET04,Gobu Seyo,ET040208,ET0402,,66622.046875
"453",Oromia,East Wellega,Leka Dulecha,"04","0402","040212",ET04,Leka Dulecha,ET040212,ET0402,,117373.7109375
"454",Oromia,East Wellega,Sibu Sire,"04","0402","040209",ET04,Sibu Sire,ET040209,ET0402,,166546.0625
"455",Oromia,East Wellega,Wayu Tuka,"04","0402","040206",ET04,Wayu Tuka,ET040206,ET0402,,101397.5625
"456",Oromia,Horo Guduru,Amuru,"04","0419","041909",ET04,Amuru,ET041909,ET0419,,85335.109375
"457",Oromia,Horo Guduru,Jimma Genete,"04","0419","041906",ET04,Jimma Genete,ET041906,ET0419,,103978.4609375
"458",Oromia,Horo Guduru,Ababo,"04","0419","041904",ET04,Ababo,ET041904,ET0419,,72682.609375
"459",Oromia,Jimma,Gumay,"04","0404","040416",ET04,Gumay,ET040416,ET0404,,98359.796875
"460",Oromia,Jimma,Seka Chekorsa,"04","0404","040409",ET04,Seka Chekorsa,ET040409,ET0404,,337035.90625
"461",Oromia,Jimma,Limu Kosa,"04","0404","040402",ET04,Limu Kosa,ET040402,ET0404,,262544.5625
"462",Oromia,West Shewa,Abuna G/Beret,"04","0405","040516",ET04,Abuna G/Beret,ET040516,ET0405,,176942.171875
"463",Oromia,West Shewa,Ifata,"04","0405","040519",ET04,Ifata,ET040519,ET0405,,93248.1640625
"464",Oromia,West Shewa,Toke Kutaye,"04","0405","040517",ET04,Toke Kutaye,ET040517,ET0405,,194455.4375
"465",Oromia,West Shewa,Mida Kegn,"04","0405","040504",ET04,Mida Kegn,ET040504,ET0405,,128130.0546875
"466",Oromia,West Shewa,Jibat,"04","0405","040518",ET04,Jibat,ET040518,ET0405,,117145.0703125
"467",Oromia,South West Shewa,Goro,"04","0413","041312",ET04,Goro,ET041312,ET0413,Goro,82112.90625
"468",Oromia,South West Shewa,Kersana Malima,"04","0413","041307",ET04,Kersana Malima,ET041307,ET0413,,67154.65625
"469",Oromia,North Shewa(R4),Debre Libanos,"04","0406","040607",ET04,Debre Libanos,ET040607,ET0406,,73397.96875
"470",Oromia,North Shewa(R4),Mulo,"04","0406","040616",ET04,Mulo,ET040616,ET0406,,57372.59765625
"471",Oromia,North Shewa(R4),Aleltu,"04","0406","040617",ET04,Aleltu,ET040617,ET0406,,86780.84375
"472",Oromia,North Shewa(R4),Jida,"04","0406","040615",ET04,Jida,ET040615,ET0406,,87260.3359375
"473",Oromia,East Shewa,Bora,"04","0407","040710",ET04,Bora,ET040710,ET0407,Bora,94939.0859375
"474",Oromia,East Shewa,Liben Chukala,"04","0407","040711",ET04,Liben Chukala,ET040711,ET0407,,125601.359375
