OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020
"61",Somali,Jarar,Gashamo,"05","0503","050304",ET05,Gashamo,ET050304,ET0503,Gashamo,144889.640625
"62",Somali,Jarar,Degehamedo,"05","0503","050301",ET05,Degehamedo,ET050301,ET0503,,91093.8828125
"63",Somali,Doolo,Danot,"05","0507","050701",ET05,Danot,ET050701,ET0507,Danot,69783.6328125
"64",Somali,Nogob,Fik,"05","0504","050402",ET05,Fik,ET050402,ET0504,,202772.59375
"65",Somali,Doolo,Boh,"05","0507","050702",ET05,Boh,ET050702,ET0507,,144620.703125
"66",Somali,Nogob,Hamero,"05","0504","050404",ET05,Hamero,ET050404,ET0504,Hamero,94654.9375
"67",Somali,Nogob,Segeg,"05","0504","050405",ET05,Segeg,ET050405,ET0504,Segeg,37768.07421875
"68",Somali,Nogob,Gerbo,"05","0504","050403",ET05,Gerbo,ET050403,ET0504,Gerbo,70649.1484375
"69",Somali,Korahe,Shekosh,"05","0505","050501",ET05,Shekosh,ET050501,ET0505,,75834.8203125
"70",Somali,Doolo,Warder,"05","0507","050704",ET05,Warder,ET050704,ET0507,Warder,90533.7734375
"71",Somali,Korahe,Kebridehar,"05","0505","050502",ET05,Kebridehar,ET050502,ET0505,,212840.65625
"72",Somali,Korahe,Shilabo,"05","0505","050503",ET05,Shilabo,ET050503,ET0505,Shilabo,89977.4609375
"73",Somali,Afder,Goro Baqaqsa,"05","0508","050803",ET05,Goro Baqaqsa,ET050803,ET0508,,80044.2109375
"74",Somali,Afder,Serer/Elkere,"05","0508","050804",ET05,Serer/Elkere,ET050804,ET0508,,90628.1953125
"75",Somali,Korahe,Debeweyin,"05","0505","050504",ET05,Debeweyin,ET050504,ET0505,,108837.0546875
"76",Somali,Shabelle,Gode,"05","0506","050604",ET05,Gode,ET050604,ET0506,Gode,170848.71875
"77",Somali,Shabelle,Kelafo,"05","0506","050605",ET05,Kelafo,ET050605,ET0506,Kelafo,120879.9375
"78",Somali,Shabelle,Mustahil,"05","0506","050606",ET05,Mustahil,ET050606,ET0506,Mustahil,76613.65625
"79",Somali,Afder,Bare,"05","0508","050807",ET05,Bare,ET050807,ET0508,,146859.375
"80",Somali,Afder,Chereti/Weyib,"05","0508","050802",ET05,Chereti/Weyib,ET050802,ET0508,,147206.671875
"81",Somali,Shabelle,Ferfer,"05","0506","050607",ET05,Ferfer,ET050607,ET0506,Ferfer,60872.10546875
"82",Somali,Afder,Afder,"05","0508","050806",ET05,Afder,ET050806,ET0508,,123208.09375
"83",Somali,Afder,Dolobay,"05","0508","050808",ET05,Dolobay,ET050808,ET0508,Dolobay,130076.453125
"84",Somali,Liben,Moyale,"05","0509","050903",ET05,Moyale,ET050903,ET0509,Moyale,396968.21875
"85",Somali,Liben,Dolo Odo,"05","0509","050902",ET05,Dolo Odo,ET050902,ET0509,Dolo Odo,165500.796875
"86",Somali,Nogob,Lagahida,"05","0504","050407",ET05,Lagahida,ET050407,ET0504,,27171.482421875
"87",Somali,Nogob,Meyumuluka,"05","0504","050408",ET05,Meyumuluka,ET050408,ET0504,,18509.83984375
"88",Somali,Nogob,Selahad,"05","0504","050401",ET05,Selahad,ET050401,ET0504,,53077.1796875
"89",Somali,Afder,Guradamole,"05","0508","050801",ET05,Guradamole,ET050801,ET0508,Guradamole,31075.875
"90",Somali,Afder,West Imi,"05","0508","050805",ET05,West Imi,ET050805,ET0508,,77023.71875
"91",Somali,Shabelle,Adadle,"05","0506","050602",ET05,Adadle,ET050602,ET0506,Adadle,130263.4375
"92",Somali,Liben,Hudet,"05","0509","050904",ET05,Hudet,ET050904,ET0509,Hudet,67233.2109375
"93",Somali,Liben,Filtu,"05","0509","050901",ET05,Filtu,ET050901,ET0509,Filtu,204794.75
"94",Somali,Shabelle,East Imi,"05","0506","050601",ET05,East Imi,ET050601,ET0506,,125314.8125
"95",Somali,Shabelle,Denan,"05","0506","050603",ET05,Denan,ET050603,ET0506,,37484.4375
"96",Somali,Jarar,Gunagado,"05","0503","050305",ET05,Gunagado,ET050305,ET0503,Gunagado,176124.78125
"97",Somali,Jarar,Aware,"05","0503","050303",ET05,Aware,ET050303,ET0503,Aware,149573.84375
"98",Gambela,Nuer,Wantawo,"12","1201","120104",ET12,Wantawo,ET120104,ET1201,Wantawa,43874.421875
"99",Gambela,Nuer,Akobo,"12","1201","120101",ET12,Akobo,ET120101,ET1201,Akobo,48889.953125
"100",Gambela,Nuer,Jikawo,"12","1201","120103",ET12,Jikawo,ET120103,ET1201,Jikawo,74529.5234375
"101",Gambela,Nuer,Lare,"12","1201","120102",ET12,Lare,ET120102,ET1201,Lare,65492.04296875
"102",Gambela,Agnuak,Gambella Wild Life Reserve,"12","1202","120200",ET12,Gambella Wild Life Reserve,ET120200,ET1202,,70.0940399169922
"103",Gambela,Agnuak,Itang,"12","1202","120207",ET12,Etang,ET120207,ET1202,Itang,74679.28125
"104",Gambela,Agnuak,Gambela Zuria,"12","1202","120202",ET12,Gambela Zuria,ET120202,ET1202,Gambella Zuria,103798.3828125
"105",Gambela,Agnuak,Jore,"12","1202","120204",ET12,Jore,ET120204,ET1202,Jor,19560.890625
"106",Gambela,Agnuak,Abobo,"12","1202","120201",ET12,Abobo,ET120201,ET1202,Abobo,32939.3125
"107",Gambela,Agnuak,Gog,"12","1202","120203",ET12,Goge,ET120203,ET1202,Gog,35225.0703125
"108",Gambela,Majang,Mengesh,"12","1203","120308",ET12,Mengesh,ET120308,ET1203,Mengesh,43126.00390625
"109",Gambela,Majang,Godere,"12","1203","120301",ET12,Godere,ET120301,ET1203,Godere,81467.3828125
"110",Gambela,Agnuak,Dima,"12","1202","120205",ET12,Dima,ET120205,ET1202,Dimma,16773.3203125
"111",Beneshangul Gumu,Metekel,Guba,"06","0602","060202",ET06,Guba,ET060202,ET0602,,24050.7578125
"112",Beneshangul Gumu,Metekel,Pawe Special,"06","0602","060206",ET06,Pawe Special,ET060206,ET0602,Pawe,72456.765625
"113",Beneshangul Gumu,Metekel,Dangura,"06","0602","060201",ET06,Dangura,ET060201,ET0602,,78598.75
"114",Beneshangul Gumu,Metekel,Mandura,"06","0602","060204",ET06,Mandura,ET060204,ET0602,,66159.0234375
"115",Beneshangul Gumu,Metekel,Dibat,"06","0602","060205",ET06,Dibat,ET060205,ET0602,,107523.03125
"116",Beneshangul Gumu,Metekel,Bulen,"06","0602","060207",ET06,Bulen,ET060207,ET0602,,73466.3203125
"117",Beneshangul Gumu,Kemashi,Yaso,"06","0604","060401",ET06,Yaso,ET060401,ET0604,,20565.326171875
"118",Beneshangul Gumu,Metekel,Wenbera,"06","0602","060203",ET06,Wenbera,ET060203,ET0602,,96786.53125
"119",Beneshangul Gumu,Kemashi,Bio Jiganifado,"06","0604","060405",ET06,Bio Jiganifado,ET060405,ET0604,,47694.86328125
"120",Beneshangul Gumu,Kemashi,Kamashi,"06","0604","060403",ET06,Kamashi,ET060403,ET0604,,28772.193359375
"121",Beneshangul Gumu,Kemashi,Agalometi,"06","0604","060404",ET06,Agalometi,ET060404,ET0604,,36451.97265625
"122",Beneshangul Gumu,Kemashi,Bio Jiganifado,"06","0604","060405",ET06,Bio Jiganifado,ET060405,ET0604,,892.949768066406
"123",Beneshangul Gumu,Kemashi,Sirba Abay,"06","0604","060402",ET06,Sirba Abay,ET060402,ET0604,,28821.609375
"124",Beneshangul Gumu,Asosa,Bilidigilu,"06","0603","060306",ET06,Bilidigilu,ET060306,ET0603,,87915.765625
"125",Beneshangul Gumu,Asosa,Sherkole,"06","0603","060304",ET06,Sherkole,ET060304,ET0603,,39745.54296875
"126",Beneshangul Gumu,Asosa,Menge,"06","0603","060301",ET06,Menge,ET060301,ET0603,,64670.640625
"127",Beneshangul Gumu,Asosa,Homosha,"06","0603","060307",ET06,Homosha,ET060307,ET0603,,35136.17578125
"128",Beneshangul Gumu,Asosa,Kurmuk,"06","0603","060302",ET06,Kurmuk,ET060302,ET0603,,26919.923828125
"129",Beneshangul Gumu,Asosa,Assosa,"06","0603","060303",ET06,Assosa,ET060303,ET0603,,168010.4375
"130",Beneshangul Gumu,Asosa,Maokomo Special,"06","0603","060308",ET06,Maokomo Special,ET060308,ET0603,Mao Komo,80992.625
"131",Beneshangul Gumu,Asosa,Bambasi,"06","0603","060305",ET06,Bambasi,ET060305,ET0603,Bambasi,78418.046875
"132",Amhara,West Gojam,Debub Achefer,"03","0307","030713",ET03,Debub Achefer,ET030713,ET0307,,196102.71875
"133",Amhara,South Wollo,Albuko,"03","0304","030408",ET03,Albuko,ET030408,ET0304,,111006.140625
"134",Amhara,North Gonder,Alfa,"03","0301","030115",ET03,Alfa,ET030115,ET0301,,244838.578125
"135",Amhara,South Wollo,Ambasel,"03","0304","030404",ET03,Ambasel,ET030404,ET0304,Ambasel,175775.765625
"136",Amhara,East Gojam,Aneded,"03","0306","030617",ET03,Aneded,ET030617,ET0306,,130190.1875
