Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,pop_2020,pop_2022,pop_2030,cons_class12,cons_class40,cons_class80,cons_class12_2030,cons_class40_2030,cons_class80_2030,Females_2022_12USD,Males_2022_12USD,Females_2022_40USD,Males_2022_40USD,Females_2022_80USD,Males_2022_80USD,Females_2030_12USD,Males_2030_12USD,Females_2030_40USD,Males_2030_40USD,Females_2030_80USD,Males_2030_80USD
3.13289101349,0.285815844062,Agago,UG306601,,,,Agago,UG3066,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,273419.15625,540155.052600094,813647.653610169,110506.38880236,7841.23806324179,1836.33812457191,299062.587914032,21319.5855571197,4897.32895412654,38952.3826231134,46179.1619697189,2764.2890149357,3276.15903715701,647.541603209997,766.950104933557,104117.255920613,118244.777584865,7421.99318288612,8429.65207354346,1704.71012884556,1936.40881476388
2.65959006268,0.112382613228,Amuria,UG202701,,,,Amuria,UG2027,Eastern,UG2,Uganda,UG,2020/06/11,2020/08/24,,243585.125,481216.23156013,724866.787422067,98448.5245982889,6985.64423936375,1635.9667616234,266430.48299533,18993.3067752242,4362.95869615768,34702.1076373426,41140.3395982399,2462.66462991925,2918.68214184707,576.885337969466,683.264624692892,92756.5396145487,105342.541918573,6612.14511081816,7509.85367010323,1518.70130651686,1725.11827504903
0.747823472485,0.0166138930818,Apac Municipality,UG307101,,,,Apac,UG3071,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,53096.0390625,104894.236987689,158004.538495817,21459.5481054775,1522.71219110767,356.603692775195,58075.8095657966,4140.11060184135,951.026157115555,7564.27332195849,8967.66203746087,536.805100015978,636.20658697666,125.747934893029,148.936209477973,20218.8243254854,22962.2877039458,1441.29784234944,1636.97797154674,331.042480098442,376.036703059909
2.28629412086,0.189448106097,Aringa,UG309901,,,,Yumbe,UG3099,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,729469.75,1441108.8695671,2170774.56681347,294825.969469945,20920.0629836391,4899.26576842379,797885.247808061,56879.6750006639,13065.8487021589,103923.167651085,123203.883002475,7374.99612064175,8740.64182836553,1727.6112540421,2046.18765188789,277780.056411449,315471.635296721,19801.5368998918,22489.9245356907,4548.08832185269,5166.24977334082
0.142252949536,0.000828812368313,Arua Municipality,UG307201,,,,Arua,UG3072,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,81018.3828125,160056.41093284,241096.556579258,32744.7755819654,2323.48177737334,544.135777427831,88616.9336663513,6317.32746074032,1451.15535211942,11542.2016880662,13683.6097138791,819.102175166079,970.777288129451,191.876729543845,227.259340756575,30851.5753367712,35037.7815049289,2199.25294617258,2497.83807410359,505.13233855814,573.788291894925
3.45714034119,0.268570372052,Aruu,UG309701,,,,Pader,UG3097,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,221224.203125,437040.961995136,658324.589480682,89411.0278822995,6344.36762165995,1485.78630644676,241972.375319924,17249.7362310512,3962.44253759244,31516.4815947981,37363.6889523221,2236.5939640937,2650.74942899443,523.927720080573,620.541472395686,84241.5626194787,95672.1798636032,6005.15541779332,6820.45504114401,1379.28572739854,1566.75378143101
2.17492158425,0.147821394571,Aswa,UG307401,,,,Gulu,UG3074,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,166038.9375,328019.339423941,494102.877639176,67107.0880159144,4761.73964751317,1115.1509472726,181611.394842589,12946.7202751801,2973.99533845265,23654.5687308082,28043.1667380384,1678.6666204294,1989.50934188823,393.231846878082,465.74491080005,63227.166616912,71806.3704986464,4507.14528974652,5119.06514884444,1035.21736523904,1175.92076055947
1.36620526912,0.0274569405106,Ayivu,UG307202,,,,Arua,UG3072,Northern,UG3,Uganda,UG,2020/06/11,2020/08/24,,276813.625,546861.018163564,823748.999732258,111878.313464149,7938.58617129698,1859.13606039976,302775.417047482,21584.2658667555,4958.12875440846,39435.9721687973,46752.4711860785,2798.60735899711,3316.83219124095,655.580760987265,776.471706125339,105409.860200451,119712.773492202,7514.1364118667,8534.30527681372,1725.87391758494,1960.44911720315
1.61362877095,0.0958719638662,Bamunanika,UG101401,,,,Luwero,UG1014,Central,UG1,Uganda,UG,2020/06/11,2020/08/24,,225628.46875,445741.838564886,671430.914731648,91191.0768599217,6470.67514061009,1515.36624147712,246789.708142314,17593.1544432068,4041.3292471515,32143.9308275138,38107.5479358843,2281.12143339404,2703.52215650658,534.35839093367,632.89558843341,85918.6947469774,97576.8796527307,6124.70969443106,6956.24079722422,1406.74538430055,1597.94566606624
1.82243537977,0.101688435825,Bbaale,UG101001,,,,Kayunga,UG1010,Central,UG1,Uganda,UG,2020/06/11,2020/08/24,,179015.859375,353655.98469092,532719.930590002,72351.9025850347,5133.89767457155,1202.30656835449,195805.39606885,13958.582794166,3206.43060782261,25503.3127364516,30234.9055516352,1809.86431366616,2145.00122643047,423.965234073473,502.145621453424,68168.742453997,77418.4616991713,4859.40526674327,5519.15027050206,1116.12570562365,1267.82590082797
