ET_ID,ADM0_EN,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,pop_2020,pop_2022,pop_2030,cons_class12,cons_class40,cons_class80,cons_class12_2030,cons_class40_2030,cons_class80_2030,Females_2022_12USD,Males_2022_12USD,Females_2022_40USD,Males_2022_40USD,Females_2022_80USD,Males_2022_80USD,Females_2030_12USD,Males_2030_12USD,Females_2030_40USD,Males_2030_40USD,Females_2030_80USD,Males_2030_80USD
0,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bumbuta,TZ0101011,10492.10546875,10712.1354125352,15635.2233040027,1670.91150009956,134.025107168777,34.1753862284337,4044.1957588048,318.897828194343,78.993479088677,601.584824037573,643.157000234448,48.2525856892461,51.5884446058062,12.3049473644476,13.1534744956605,1489.01728283283,1565.61208979917,117.409742623521,123.458282195453,29.0854586405276,30.5820626178764
1,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Pahi,TZ0101021,17597.025390625,17966.0526100918,26222.8989489377,2802.39959275232,224.782644518268,57.3178701822381,6782.79642387397,534.845288818811,132.485349233042,1008.95892199462,1078.68245291592,80.9277011240464,86.5224975382731,20.6374661260707,22.0605888269489,2497.33240016796,2625.79477285293,196.915883871589,207.06030195245,48.7812056140448,51.2912621768153
2,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Haubi,TZ0101041,16595.92578125,16943.9589408086,24731.0710228129,2642.9703099423,211.994698111064,54.0570407990961,6396.92127170035,504.41779338553,124.948221313924,951.558971704022,1017.3159117942,76.3237019716634,81.6002088806764,19.4633950078744,20.805555867287,2355.25847376335,2476.41258677036,185.713285134157,195.28058448315,46.0060294236939,48.3732881789534
3,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kalamba,TZ0101051,18085.490234375,18464.7610500801,26950.8040325201,2880.18965378889,231.022245638059,58.9089211627956,6971.07583598079,549.691725340548,136.162927345009,1036.96598291781,1108.62492581251,83.1741226644543,88.9242215400699,21.2103286663519,22.6729549419702,2566.65429142861,2698.68257093069,202.381948977029,212.807959627247,50.1352926514423,52.7150243075608
4,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kwadelo,TZ0101061,14560.3798828125,14865.725609335,21697.7223053024,2318.80114667855,185.992838141432,47.4267636376625,5612.31744610669,442.549261074736,109.622903355466,834.847075814377,892.538706896869,66.9623442173698,71.5916698760995,17.0761444019029,18.253684735264,2066.37813112855,2172.67228627236,162.934928516819,171.328766547313,40.3632357807748,42.4401423186694
5,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Masange,TZ0101071,6711.98876953125,6852.74588601709,10002.1338460756,1068.91216991217,85.7382740605664,21.8626098682334,2587.14483911089,204.004682172085,50.5335507814495,384.844642944833,411.439112528605,30.8680478109652,33.0020568191075,7.87169636883999,8.41451445166485,952.551164280528,1001.55024131932,75.109126215876,78.9784858786995,18.6064915505605,19.5638960599147
6,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kikilo,TZ0101081,11586.345703125,11829.3229588652,17265.8483928978,1845.17381541221,148.002822615625,37.739597696555,4465.9720865546,352.156246659958,87.2318487209248,664.325169224909,710.232981196762,53.2849331843282,56.9686947266835,13.5882520860927,14.5252736124198,1644.30952855113,1728.89254339208,129.654612318066,136.333964778653,32.1188325590903,33.7715200119453
7,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bereko,TZ0101091,9490.0595703125,9689.07560956152,14141.9852280423,1511.33151681464,121.225072959617,30.9114745474353,3657.95585827591,288.441571181437,71.4492267019778,544.130616463646,581.732452410772,43.644234608243,46.6615031565437,11.1297664559295,11.8972552165238,1346.809061098,1416.08870025643,106.196554633473,111.667429952253,26.3076592158344,27.6613304060935
8,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kisese,TZ0101101,16215.4267578125,16555.4804723506,24164.0554494259,2582.37425551528,207.134241594904,52.8176612366004,6250.25742606913,492.852877976922,122.083501573859,929.742336449746,993.991650402137,74.5738089890036,79.7293400782579,19.0171527860852,20.3285415811349,2301.25886198982,2419.63524374567,181.455389276804,190.803336713333,44.9512374525386,47.2642214625098
9,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kikore,TZ0101111,16921.8125,17276.6798299375,25216.7039241062,2694.86912736373,216.157542502539,55.1185345586823,6522.53473314954,514.322818373726,127.401773251572,970.244306591221,1037.29248609301,77.8224361264341,83.202555424759,19.8455889281447,21.2141051957626,2401.50762346068,2525.04078520962,189.360053257755,199.115221354369,46.9094290995675,49.3231726486464
