ET_ID,ADM0_EN,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,pop_2020
0,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bumbuta,TZ0101011,10492.10546875
1,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Pahi,TZ0101021,17597.025390625
2,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Haubi,TZ0101041,16595.92578125
3,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kalamba,TZ0101051,18085.490234375
4,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kwadelo,TZ0101061,14560.3798828125
5,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Masange,TZ0101071,6711.98876953125
6,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kikilo,TZ0101081,11586.345703125
7,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bereko,TZ0101091,9490.0595703125
8,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kisese,TZ0101101,16215.4267578125
9,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kikore,TZ0101111,16921.8125
10,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Serya,TZ0101121,7912.6787109375
11,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kilimani,TZ0101133,8861.2919921875
12,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Chemchem,TZ0101142,13406.7265625
13,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Hondo mairo,TZ0101151,10224.90234375
14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bolisa,TZ0101161,4570.2841796875
15,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kinyasi,TZ0101171,11281.05859375
16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Salanka,TZ0101181,10898.8359375
17,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Itololo,TZ0101191,8901.1591796875
18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Itaswi,TZ0101201,12147.2724609375
19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Suruke,TZ0101211,4129.658203125
20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kingale,TZ0101221,14003.5625
21,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kondoa mjini,TZ0101232,14845.78125
22,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kolo,TZ0101241,6603.46533203125
23,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Changaa,TZ0101251,11942.3916015625
24,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Thawi,TZ0101261,13562.10546875
25,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Mnenia,TZ0101271,14479.2958984375
26,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Soera,TZ0101281,9410.7138671875
27,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mazae,TZ0102011,9885.2734375
28,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Vingh'awe,TZ0102023,17307.650390625
29,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Matomondo,TZ0102031,21428.505859375
30,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Kimagai,TZ0102041,9244.939453125
31,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Kibakwe,TZ0102053,20706.8359375
32,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Lumuma,TZ0102061,4674.90625
33,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Luhundwa,TZ0102071,15363.3056640625
34,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Massa,TZ0102081,15741.4853515625
35,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Ipera,TZ0102091,15991.232421875
36,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Rudi,TZ0102101,12497.70703125
37,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mlunduzi,TZ0102111,12280.18359375
38,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Wotta,TZ0102121,16785.763671875
39,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mima,TZ0102131,17856.796875
40,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Berege,TZ0102141,13686.650390625
41,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Chunyu,TZ0102151,14546.0224609375
42,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mbuga,TZ0102161,7154.0732421875
43,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Godegode,TZ0102171,9808.296875
44,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mpwapwa,TZ0102183,25093.9453125
45,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Lupeta,TZ0102191,10478.2705078125
46,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Gulwe,TZ0102201,12979.802734375
47,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Nghambi,TZ0102211,10438.529296875
48,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Chitemo,TZ0102221,9709.1025390625
49,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Iwondo,TZ0102231,9652.6162109375
50,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Kingiti,TZ0102241,8803.630859375
51,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Lufu,TZ0102251,6110.31298828125
52,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Pwaga,TZ0102261,14042.3583984375
53,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Galigali,TZ0102271,5457.1083984375
54,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mtera,TZ0102281,13737.3525390625
55,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Chipogoro,TZ0102291,13299.1064453125
56,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Malolo,TZ0102301,6399.65478515625
57,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Kongwa,TZ0103013,17256.396484375
58,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Sejeli,TZ0103021,23703.158203125
59,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Hogoro,TZ0103031,21425.5859375
60,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Zoissa,TZ0103041,7510.9306640625
61,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Mkoka,TZ0103051,13760.736328125
62,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Njoge,TZ0103061,12442.8095703125
63,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Mtanana,TZ0103071,15967.2900390625
64,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Pandambili,TZ0103081,10205.7744140625
65,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Mlali,TZ0103091,24662.921875
66,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Iduo,TZ0103101,14179.4677734375
67,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Sagara,TZ0103111,27444.17578125
68,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Kibaigwa,TZ0103123,30940.640625
69,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Ugogoni,TZ0103133,20693.376953125
70,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Chamkoroma,TZ0103141,18257.728515625
71,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Makawa,TZ0103151,11204.392578125
72,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Chitego,TZ0103161,12352.7255859375
73,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Matongoro,TZ0103171,13488.640625
74,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Ngomai,TZ0103181,13176.0791015625
75,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Songambele,TZ0103191,22394.517578125
76,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Chiwe,TZ0103201,24236.837890625
77,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Lenjulu,TZ0103211,18699.890625
78,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Nghumbi,TZ0103221,14274.4853515625
79,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Haneti,TZ0104011,16337.35546875
80,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Segala,TZ0104021,15953.017578125
81,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Itiso,TZ0104031,15736.3037109375
82,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Dabalo,TZ0104041,20102.162109375
83,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Membe,TZ0104051,10880.9345703125
84,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Msanga,TZ0104061,12131.3134765625
85,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Chilonwa,TZ0104071,9893.9853515625
86,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Buigiri,TZ0104083,21061.48046875
87,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Majeleko,TZ0104091,8397.154296875
88,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Manchali,TZ0104101,13116.02734375
89,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Ikowa,TZ0104111,7921.58837890625
90,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Msamalo,TZ0104121,17658.8359375
91,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Igandu,TZ0104131,18503.884765625
92,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Muungano,TZ0104141,13074.7470703125
93,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Mvumi Makulu,TZ0104151,9253.037109375
94,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Handali,TZ0104161,12311.1982421875
95,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Mvumi Mission,TZ0104173,20899.060546875
96,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Idifu,TZ0104181,12061.5869140625
97,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Makang'wa,TZ0104191,25536.7421875
98,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Iringamvumi,TZ0104201,14062.6728515625
99,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Manzase,TZ0104211,14515.5576171875
100,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Fufu,TZ0104221,4402.5537109375
101,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Mlowa Bwawani,TZ0104231,11355.525390625
102,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Mpwayungu,TZ0104241,15917.8271484375
103,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Nghambaku,TZ0104251,9076.103515625
104,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Chinugulu,TZ0104261,6491.6396484375
105,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Manda,TZ0104271,12479.419921875
106,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Huzi,TZ0104281,9449.86328125
107,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Loje,TZ0104291,6320.84326171875
108,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Chiboli,TZ0104301,5922.07275390625
109,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Nhinhi,TZ0104311,8955.029296875
110,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,Zajilwa,TZ0104321,13507.9970703125
111,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Viwandani,TZ0105012,5283.08056640625
112,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Uhuru,TZ0105022,1848.56994628906
113,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Chamwino,TZ0105032,25950.298828125
114,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Kiwanja cha ndege,TZ0105042,13895.07421875
115,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Makole,TZ0105052,10078.1611328125
116,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Miyuji,TZ0105062,18479.58984375
117,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Msalato,TZ0105071,8368.0068359375
118,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Makutupora,TZ0105081,17752.10546875
119,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Chihanga,TZ0105091,13508.85546875
120,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Hombolo,TZ0105101,28051.552734375
121,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Ipala,TZ0105111,7733.12451171875
122,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Nzuguni,TZ0105121,19415.005859375
123,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Dom-Makulu,TZ0105131,23761.869140625
124,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Mtumba,TZ0105141,21739.28515625
125,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Kikombo,TZ0105151,10340.9130859375
126,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Ngh'ongh'onha,TZ0105161,12056.6220703125
127,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Mpunguzi,TZ0105171,22431.236328125
128,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Tambukareli,TZ0105182,13336.5166015625
129,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Kilimani,TZ0105192,11143.859375
130,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Kikuyu Kusini,TZ0105202,7349.5126953125
131,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Kikuyu Kaskazini,TZ0105212,14015.07421875
132,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Mkonze,TZ0105221,16236.8662109375
133,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Mbabala,TZ0105231,14821.767578125
134,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Zuzu,TZ0105241,8195.1015625
135,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Hazina,TZ0105252,9958.109375
136,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Madukani,TZ0105262,1714.88122558594
137,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Majengo,TZ0105272,6433.876953125
138,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Kizota,TZ0105282,41444.59375
139,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Nala,TZ0105291,6957.05908203125
140,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Mbalawala,TZ0105301,11056.5224609375
141,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Ntyuka,TZ0105311,8126.64404296875
142,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Chigongwe,TZ0105322,9124.044921875
143,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Chang'ombe,TZ0105332,26772.69921875
144,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Iyumbu,TZ0105341,3298.5009765625
145,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Chahwa,TZ0105351,5372.1044921875
146,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Mnadani,TZ0105362,16615.15625
147,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,Ipagala,TZ0105372,21231.259765625
148,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Makanda,TZ0106011,9978.521484375
149,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Lamaiti,TZ0106021,15397.96484375
150,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Babayu,TZ0106031,13025.3427734375
151,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Zanka,TZ0106041,12335.9130859375
152,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Msisi,TZ0106051,14787.693359375
153,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Mundemu,TZ0106061,10021.5771484375
154,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Bahi,TZ0106071,22895.341796875
155,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Mpamantwa,TZ0106081,16171.6201171875
156,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Ibihwa,TZ0106091,13999.3427734375
157,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Ilindi,TZ0106101,11652.0927734375
158,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Kigwe,TZ0106111,19522.40234375
159,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Chikola,TZ0106121,17182.9296875
160,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Chipanga,TZ0106131,11923.41796875
161,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Chali,TZ0106141,13887.8388671875
162,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Nondwa,TZ0106151,19505.134765625
163,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Mpalanga,TZ0106161,12608.673828125
164,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Ibugule,TZ0106171,10233.3603515625
165,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Chibelela,TZ0106181,12501.2275390625
166,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Mwitikira,TZ0106191,9046.267578125
167,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,Mtitaa,TZ0106201,10670.0419921875
168,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chemba,TZ0107,Makorongo,TZ0107011,18515.216796875
169,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chemba,TZ0107,Ovada,TZ0107021,14706.326171875
170,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chemba,TZ0107,Msaada,TZ0107031,8044.0908203125
